order,algo,cut,top,filtering,frequency,update
FRQ,SPL,15000,10,UFL,NFR,D
FRQ,SPL,15000,10,UFL,NFR,S
FRQ,SPL,15000,10,NFL,NFR,D
FRQ,SPL,15000,10,NFL,NFR,S
FRQ,SPL,15000,15,NFL,NFR,D
FRQ,SPL,15000,15,NFL,NFR,S
FRQ,SPL,15000,15,UFL,NFR,D
MIN,SPL,15000,10,UFL,UFR,D
MIN,SPL,15000,10,UFL,NFR,D
MIN,SPL,15000,10,NFL,UFR,D
MIN,SPL,15000,10,NFL,NFR,D
MIN,SPL,15000,15,NFL,NFR,D
MIN,SPL,15000,15,NFL,UFR,D
MIN,SPL,15000,15,UFL,NFR,D
MAX,SPL,15000,5,NFL,UFR,D
MAX,SPL,15000,5,NFL,NFR,D
MAX,SPL,15000,5,NFL,NFR,S
MAX,SPL,15000,10,NFL,UFR,D
MAX,SPL,15000,10,NFL,NFR,D
MAX,SPL,15000,15,NFL,NFR,D
MAX,SPL,15000,15,NFL,UFR,D
MAX,SPL,15000,15,UFL,NFR,D
