training,fitting_traces%,average_trace_fitness,precision,f-measure
1,0.08,0.5207548826582473,0.8628055354719231,0.6494984815896848
2,0.43333333333333335,0.5129903114004958,0.4385301217328108,0.47284681625895286
3,0.19333333333333333,0.4845594683967212,0.9922322828197749,0.6511352018226857
4,0.08,0.519912385930666,0.9955974020312977,0.6831013891537543
5,0.11333333333333333,0.5210355307528244,0.9956228222996516,0.684076100068893
6,0.08666666666666667,0.5153361555658816,0.9951534024868967,0.6790361785711657
7,0.05333333333333334,0.4761540389225034,0.9953458244368207,0.6441562737875848
8,0.06,0.5669965373665584,0.9975449603491612,0.7230291292512674
9,0.04,0.579841203850513,0.9965068818224965,0.7331067995106972
10,0.0,0.3686808236808233,0.9986684420772304,0.5385455099578448
WHOLE,0.10706922923455477,0.52744778035724,0.9973187052631802,0.6899857025461579
