training,fitting_traces%,average_trace_fitness,precision,f-measure
1,0.05333333333333334,0.5206317236168531,0.9972281425060853,0.6841061131662131
2,0.32666666666666666,0.5072650319056953,0.9976444181342805,0.6725589072245929
3,0.02,0.4648040196787392,0.9984436164693675,0.634315880501537
4,0.02,0.503384216057882,0.9999124496585536,0.6696484547286711
5,0.0,0.5028773112669996,0.9993660509345283,0.6690773616452913
6,0.02,0.5028550037258888,0.9993834500374333,0.6690615158109128
7,0.03333333333333333,0.45872374933682464,0.9993258859784283,0.6288050915718687
8,0.013333333333333334,0.5614705153532348,0.9996680789581585,0.7190702395291096
9,0.0,0.5818030188075812,0.9997904482502429,0.7355633581985571
10,0.0,0.338307651542944,0.9986684420772304,0.5054049611229343
WHOLE,0.015960630444902573,0.5155435075504569,0.9999488664327306,0.6803295810943517
