training,fitting_traces%,average_trace_fitness,precision,f-measure
1,2.0,0.2537534705053402,0.7571884984025559,0.380119166491704
2,0.0,0.20777271507477657,0.765867418899859,0.32686892715184723
3,0.0,0.19073372983825027,0.6204724409448819,0.29177545039878433
4,0.0,0.19575459114323318,0.8944281524926686,0.32120929875344945
5,1.0,0.19506830768184236,0.9114114114114114,0.3213569639968422
6,0.0,0.15032823499062536,0.8781127129750983,0.2567092150997777
7,0.0,0.15154973280566092,0.9044776119402985,0.25960187697834514
8,1.0,0.12538766372520954,0.7920997920997921,0.21650332489681684
9,1.0,0.11864498982865912,0.7960526315789473,0.20651121018860477
10,0.0,0.12737878431808913,0.7895927601809954,0.21936856492785115
11,0.0,0.17359093048178761,0.5956043956043956,0.2688303418537034
WHOLE,0.9174311926605505,0.176814929817038,0.9183445190156599,0.29653585484869605
