training,fitting_traces%,average_trace_fitness,precision,f-measure
1,2.0,0.2537534705053402,0.5159651669085632,0.3401969119594299
2,0.0,0.21051388380381186,0.6350877192982456,0.3162122253674177
3,0.0,0.19259834121703887,0.5644699140401146,0.28720255632465536
4,0.0,0.19575459114323318,0.6199186991869918,0.2975503377149085
5,1.0,0.19506830768184236,0.6296680497925311,0.2978607157576939
6,0.0,0.15055550771789808,0.5785837651122625,0.23893644399565947
7,0.0,0.15166467533439656,0.6029850746268657,0.2423681597442121
8,1.0,0.12561493645248228,0.5618631732168851,0.20532553925992705
9,1.0,0.11883017501384431,0.5836012861736335,0.19745540114926105
10,0.0,0.1274758716967299,0.6006884681583478,0.2103186929255522
11,0.0,0.17381051765789654,0.43993506493506496,0.24917602192482444
WHOLE,0.9174311926605505,0.17690410011323943,0.6693460355264463,0.2798464735008012
