n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10
0,100,13,12,76,38,"[3:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')"
1,106,11,12,62,26,"[3:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')"
2,124,13,12,86,38,"[3:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')"
3,130,12,12,94,47,"[3:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')"
4,135,8,10,42,16,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')"
5,147,12,9,60,30,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'LacticAcid')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')"
6,150,11,10,60,30,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Admission NC', 'Release A')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'LacticAcid')"
7,171,10,10,52,26,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:7]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Admission NC', 'Release A')","[5:1]('ER Registration', 'ER Triage', 'CRP', 'Leucocytes', 'ER Sepsis Triage')","[6:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')"
8,238,10,10,52,26,"[3:7]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:8]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:2]('ER Registration', 'ER Triage', 'CRP', 'Leucocytes', 'ER Sepsis Triage')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Admission NC', 'Release A')","[5:1]('ER Registration', 'ER Triage', 'Leucocytes', 'CRP', 'ER Sepsis Triage')","[6:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')"
9,324,11,10,72,36,"[3:11]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:12]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:2]('ER Registration', 'ER Triage', 'CRP', 'Leucocytes', 'ER Sepsis Triage')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Admission NC', 'Release A')","[5:1]('ER Registration', 'ER Triage', 'Leucocytes', 'CRP', 'ER Sepsis Triage')","[5:1]('ER Sepsis Triage', 'ER Registration', 'ER Triage', 'Leucocytes', 'CRP')","[6:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')"
