n°_training,current_trace,trace_1,trace_2,trace_3,trace_4,trace_5
0,10000,"('NEW',)","('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'CHANGE DIAGN', 'DELETE')"
1,14730,"('NEW',)","('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
2,15684,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
3,15719,"('NEW',)","('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
4,15752,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
5,15772,"('NEW',)","('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
6,15803,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
7,15823,"('NEW',)","('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
8,15855,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
9,19502,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
10,19911,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'DELETE')"
11,19916,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
12,77860,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW',)","('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","('NEW', 'DELETE')","('NEW', 'FIN')"
